group,team,win_group_prob,top_two_prob,third_place_qualify_prob,total_qualify_prob
A,South Africa,0.133,0.322,0.186,0.508
A,Czechia,0.24,0.476,0.201,0.677
A,South Korea,0.261,0.541,0.2,0.741
A,Mexico,0.366,0.661,0.16,0.821
B,Qatar,0.139,0.365,0.171,0.536
B,Bosnia and Herzegovina,0.153,0.383,0.188,0.571
B,Canada,0.278,0.554,0.175,0.729
B,Switzerland,0.43,0.698,0.159,0.857
C,Haiti,0.023,0.12,0.117,0.237
C,Scotland,0.101,0.342,0.255,0.597
C,Morocco,0.256,0.654,0.187,0.841
C,Brazil,0.62,0.884,0.072,0.956
D,Paraguay,0.174,0.385,0.194,0.579
D,Australia,0.197,0.432,0.178,0.61
D,Turkey,0.268,0.562,0.182,0.744
D,United States,0.361,0.621,0.169,0.79
E,Curacao,0.036,0.13,0.104,0.234
E,Ivory Coast,0.184,0.495,0.222,0.717
E,Ecuador,0.247,0.552,0.231,0.783
E,Germany,0.533,0.823,0.109,0.932
F,Tunisia,0.089,0.282,0.174,0.456
F,Sweden,0.199,0.428,0.209,0.637
F,Japan,0.235,0.558,0.172,0.73
F,Netherlands,0.477,0.732,0.15,0.882
G,New Zealand,0.055,0.192,0.146,0.338
G,Egypt,0.222,0.541,0.161,0.702
G,Iran,0.221,0.499,0.239,0.738
G,Belgium,0.502,0.768,0.135,0.903
H,Cape Verde,0.069,0.241,0.195,0.436
H,Saudi Arabia,0.084,0.253,0.19,0.443
H,Uruguay,0.28,0.648,0.172,0.82
H,Spain,0.567,0.858,0.08,0.938
I,Iraq,0.055,0.25,0.146,0.396
I,Norway,0.117,0.408,0.212,0.62
I,Senegal,0.149,0.462,0.194,0.656
I,France,0.679,0.88,0.075,0.955
J,Jordan,0.038,0.173,0.141,0.314
J,Algeria,0.1,0.399,0.198,0.597
J,Austria,0.175,0.542,0.202,0.744
J,Argentina,0.687,0.886,0.08,0.966
K,Uzbekistan,0.063,0.268,0.169,0.437
K,DR Congo,0.094,0.262,0.203,0.465
K,Colombia,0.287,0.646,0.156,0.802
K,Portugal,0.556,0.824,0.107,0.931
L,Panama,0.031,0.159,0.167,0.326
L,Ghana,0.097,0.31,0.211,0.521
L,Croatia,0.321,0.68,0.164,0.844
L,England,0.551,0.851,0.092,0.943
