team,recent_form,goals_for_last_10,goals_against_last_10,matches_played
Germany,3.0,35,7,41
Vietnam,2.7,24,10,39
Philippines,2.5,29,11,33
Austria,2.5,27,4,37
Argentina,2.5,25,3,39
France,2.5,25,9,40
England,2.5,24,2,41
Italy,2.5,24,10,38
Ivory Coast,2.5,20,7,45
Guyana,2.4,26,12,30
Portugal,2.3,26,9,40
Tajikistan,2.3,22,11,33
Algeria,2.3,21,4,49
Malaysia,2.3,19,6,37
Mexico,2.3,18,4,58
Belgium,2.2,32,7,39
Colombia,2.2,25,10,42
Spain,2.2,25,4,42
Turkey,2.2,22,13,40
Morocco,2.2,20,4,52
Croatia,2.2,19,10,37
Norway,2.1,31,8,34
Netherlands,2.1,23,9,41
Scotland,2.1,22,10,38
Japan,2.1,15,8,39
Faroe Islands,2.1,14,8,33
New Caledonia,2.0,23,10,16
Thailand,2.0,23,9,49
Russia,2.0,19,7,25
Senegal,2.0,16,9,45
Saint Vincent and the Grenadines,1.9,26,11,31
Denmark,1.9,24,10,38
United States,1.9,22,16,55
Nigeria,1.9,18,7,48
Slovakia,1.9,15,15,38
South Korea,1.9,15,13,42
Yemen,1.8,28,10,22
Lebanon,1.8,21,5,33
Syria,1.8,20,9,36
Iran,1.8,19,7,40
Papua New Guinea,1.8,18,15,23
Hungary,1.8,17,12,37
Poland,1.8,17,13,37
Republic of Ireland,1.8,16,8,35
DR Congo,1.8,11,5,45
Brazil,1.7,23,12,38
Israel,1.7,19,17,31
Singapore,1.7,19,13,35
Switzerland,1.7,19,9,40
Burkina Faso,1.7,18,13,46
Jordan,1.7,17,15,51
Kosovo,1.7,14,11,33
Sint Maarten,1.7,13,22,20
Ecuador,1.7,12,6,40
Iraq,1.7,11,10,48
Uruguay,1.7,11,8,40
Cameroon,1.7,10,7,37
Czech Republic,1.6,21,11,38
Panama,1.6,18,16,55
Indonesia,1.6,17,11,46
Madagascar,1.6,17,19,31
Turkmenistan,1.6,16,14,19
Guadeloupe,1.6,15,11,24
Ukraine,1.6,15,16,37
Australia,1.6,14,10,39
Chile,1.6,14,16,36
Egypt,1.6,13,7,48
Tahiti,1.6,12,14,17
Hong Kong,1.5,19,11,41
Grenada,1.5,17,21,30
Saint Martin,1.5,17,17,18
Kenya,1.5,14,17,31
Uzbekistan,1.5,14,9,42
Libya,1.5,11,9,29
Albania,1.5,9,9,36
Canada,1.5,9,5,44
Gambia,1.4,22,16,28
Curaçao,1.4,20,21,35
