team,recent_form,goals_for_last_10,goals_against_last_10,matches_played,elo_rating,fifa_rank,host_advantage
Germany,3.0,35,7,41,1939.0,8.0,0.0
Vietnam,2.7,24,10,39,,,0.0
Philippines,2.5,29,11,33,,,0.0
Austria,2.5,27,4,37,1830.0,20.0,0.0
Argentina,2.5,25,3,39,2115.0,2.0,0.0
France,2.5,25,9,40,2063.0,1.0,0.0
England,2.5,24,2,41,2024.0,4.0,0.0
Italy,2.5,24,10,38,,,0.0
Ivory Coast,2.5,20,7,45,1743.0,31.0,0.0
Guyana,2.4,26,12,30,,,0.0
Portugal,2.3,26,9,40,1989.0,9.0,0.0
Tajikistan,2.3,22,11,33,,,0.0
Algeria,2.3,21,4,49,1772.0,29.0,0.0
Malaysia,2.3,19,6,37,,,0.0
Mexico,2.3,18,4,58,1881.0,11.0,1.0
Belgium,2.2,32,7,39,1879.0,10.0,0.0
Colombia,2.2,25,10,42,1982.0,12.0,0.0
Spain,2.2,25,4,42,2129.0,3.0,0.0
Turkey,2.2,22,13,40,1849.0,32.0,0.0
Morocco,2.2,20,4,52,1840.0,6.0,0.0
Croatia,2.2,19,10,37,1912.0,15.0,0.0
Norway,2.1,31,8,34,1914.0,27.0,0.0
Netherlands,2.1,23,9,41,1944.0,7.0,0.0
Scotland,2.1,22,10,38,1794.0,41.0,0.0
Japan,2.1,15,8,39,1910.0,16.0,0.0
Faroe Islands,2.1,14,8,33,,,0.0
New Caledonia,2.0,23,10,16,,,0.0
Thailand,2.0,23,9,49,,,0.0
Russia,2.0,19,7,25,,,0.0
Senegal,2.0,16,9,45,1860.0,17.0,0.0
Saint Vincent and the Grenadines,1.9,26,11,31,,,0.0
Denmark,1.9,24,10,38,,,0.0
United States,1.9,22,16,55,1780.0,13.0,1.0
Nigeria,1.9,18,7,48,,,0.0
Slovakia,1.9,15,15,38,,,0.0
South Korea,1.9,15,13,42,1786.0,23.0,0.0
Yemen,1.8,28,10,22,,,0.0
Lebanon,1.8,21,5,33,,,0.0
Syria,1.8,20,9,36,,,0.0
Iran,1.8,19,7,40,1756.0,22.0,0.0
Papua New Guinea,1.8,18,15,23,,,0.0
Hungary,1.8,17,12,37,,,0.0
Poland,1.8,17,13,37,,,0.0
Republic of Ireland,1.8,16,8,35,,,0.0
DR Congo,1.8,11,5,45,1652.0,43.0,0.0
Brazil,1.7,23,12,38,1978.0,5.0,0.0
Israel,1.7,19,17,31,,,0.0
Singapore,1.7,19,13,35,,,0.0
Switzerland,1.7,19,9,40,1865.0,18.0,0.0
Burkina Faso,1.7,18,13,46,,,0.0
Jordan,1.7,17,15,51,1680.0,68.0,0.0
