date,team_a,team_b,team_a_goals,team_b_goals,tournament,neutral,elo_diff,fifa_rank_diff,recent_form_diff,goals_for_last_10_diff,goals_against_last_10_diff,goal_diff_last_10_diff,strength_gap,host_advantage_diff,result,team_a_win,draw,team_b_win
2023-01-09,Iraq,Saudi Arabia,2,0,Gulf Cup,False,9.0,-1.0,0.5999999999999999,0.0,3.0,3.0,3.5999999999999996,0.0,team_a_win,1,0,0
2023-01-16,Iraq,Qatar,2,1,Gulf Cup,False,160.0,-3.0,1.0,5.0,4.0,9.0,10.0,0.0,team_a_win,1,0,0
2023-01-28,United States,Colombia,0,0,Friendly,False,-202.0,-1.0,-0.30000000000000027,-3.0,-6.0,-9.0,9.3,1.0,draw,0,1,0
2023-03-23,Argentina,Panama,2,0,Friendly,False,385.0,38.0,0.8999999999999999,7.0,13.0,20.0,20.9,0.0,team_a_win,1,0,0
2023-03-24,Australia,Ecuador,3,1,Friendly,False,-51.0,5.0,-0.09999999999999987,2.0,-4.0,-2.0,6.1,0.0,team_a_win,1,0,0
2023-03-24,Japan,Uruguay,1,1,Friendly,False,40.0,3.0,0.40000000000000013,4.0,0.0,4.0,4.4,0.0,draw,0,1,0
2023-03-24,South Korea,Colombia,2,2,Friendly,False,-196.0,-11.0,-0.30000000000000027,-10.0,-3.0,-13.0,13.3,0.0,draw,0,1,0
2023-03-24,France,Netherlands,4,0,UEFA Euro qualification,False,119.0,6.0,0.3999999999999999,2.0,0.0,2.0,2.4,0.0,team_a_win,1,0,0
2023-03-24,Sweden,Belgium,0,3,UEFA Euro qualification,False,-124.0,-26.0,-1.1,-16.0,-12.0,-28.0,29.1,0.0,team_b_win,0,0,1
2023-03-25,Morocco,Brazil,2,1,Friendly,False,-138.0,-1.0,0.5000000000000002,-3.0,8.0,5.0,11.5,0.0,team_a_win,1,0,0
2023-03-25,Spain,Norway,3,0,UEFA Euro qualification,False,215.0,24.0,0.10000000000000009,-6.0,4.0,-2.0,10.1,0.0,team_a_win,1,0,0
